time	type	subtype	content
138.564	event	timer	pulse_off_timer
138.617	event	timer	pulse_on_timer
138.622	state		ITI
139.622	state		wait_init
140.987	event	input	C1_out
142.891	event	sync	rsync
145.235	event	input	B2_in
145.249	state		wait_choice
145.271	event	input	B2_out
145.749	event	timer	init_cue_timer
146.330	event	input	B1_in
146.333	state		hold_poke
146.455	event	input	B1_out
146.458	state		wait_choice
146.490	event	input	B1_in
146.493	state		hold_poke
146.524	event	input	B1_out
146.527	state		wait_choice
146.582	event	input	B1_in
146.585	state		hold_poke
146.785	event	timer	poke_hold_timer
146.785	state		poked_in
146.786	variable	print	{"num_t": 21, "num_t_in_block": 30, "num_blocks": 1, "curr_block_len": 31, "chosen_tow": "B1", "chosen_rank": "third", "num_long_pokes": 0, "long_pokes": [], "stream_state": [2, 1], "stream_hold": [5, 2], "inactive_arm": "B1", "arm_to_stream": {"C1": 0, "A1": 1}, "num_rew_pulses": 0, "curr_rew_mag": {"B1": 0, "A1": 2, "C1": 3}, "c_tows": ["A1", "B1", "C1"], "choice_counts": {"B1": 3, "A1": 0, "C1": 18}, "rank_counts": {"best": 18, "second": 0, "third": 3}, "tot_rew_amt": 136}
146.796	state		ITI
146.843	event	input	B1_out
146.894	event	input	B1_in
146.918	event	input	B1_out
147.290	event	timer	no_rew_cue_timer
147.712	event	input	A1_in
147.796	state		wait_init
148.037	event	input	A1_out
149.882	event	input	A1_in
149.931	event	input	A1_out
150.798	event	sync	rsync
154.386	event	sync	rsync
154.938	event	input	C1_in
155.114	event	input	C1_out
163.565	event	input	A1_in
